"Jul.Day","YYYY/MM/DD","Wdy","DZD/USD","ARS/USD","AUD/USD","ATS/USD","BSD/USD","BHD/USD","BBD/USD","BEF/USD","BMD/USD","BRL/USD","GBP/USD","BGN/USD","CAD/USD","CLP/USD","CNY/USD","COP/USD","HRK/USD","CYP/USD","CZK/USD","DKK/USD"
2458848,"2019/12/30","Mon",,59.732,1.4286,12.282,,,,36.006,,4.0219,0.76181,1.7469,1.3059,746.73,6.9872,3292.5,6.6528,0.52239,22.743,6.6717
2458849,"2019/12/31","Tue",,59.408,1.4238,12.255,,,,35.928,,4.0198,0.75626,1.7401,1.2988,742.67,6.9641,3274.6,6.6190,0.52126,22.606,6.6475
2458851,"2020/01/02","Thu",,59.797,1.4310,12.312,,,,36.095,,4.0273,0.76043,1.7465,1.2992,750.22,6.9625,3250.9,6.6478,0.52368,22.692,6.6723
2458852,"2020/01/03","Fri",,59.833,1.4375,12.328,,,,36.141,,4.0486,0.76432,1.7554,1.2988,757.08,6.9678,3252.5,6.6832,0.52435,22.761,6.7073
2458855,"2020/01/06","Mon",,59.648,1.4418,12.296,,,,36.046,,4.0582,0.76008,1.7464,1.2970,772.36,6.9769,3247.2,6.6480,0.52298,22.592,6.6731
2458856,"2020/01/07","Tue",,59.801,1.4561,12.344,,,,36.187,,4.0768,0.76210,1.7523,1.3009,768.32,6.9455,3259.4,6.6728,0.52502,22.646,6.6954
2458857,"2020/01/08","Wed",,59.794,1.4566,12.379,,,,36.289,,4.0579,0.76296,1.7606,1.3026,759.98,6.9472,3241.8,6.7056,0.52650,22.744,6.7273
2458858,"2020/01/09","Thu",,59.735,1.4587,12.390,,,,36.321,,4.0795,0.76597,1.7635,1.3079,765.81,6.9311,3250.7,6.7140,0.52697,22.770,6.7384
2458859,"2020/01/10","Fri",,59.780,1.4496,12.382,,,,36.299,,4.0784,0.76554,1.7606,1.3051,770.52,6.9199,3279.2,6.7015,0.52664,22.743,6.7272
2458862,"2020/01/13","Mon",,59.910,1.4477,12.359,,,,36.230,,4.1344,0.76984,1.7583,1.3048,774.46,6.8928,3283.1,6.6926,0.52565,22.682,6.7184
2458863,"2020/01/14","Tue",,60.083,1.4488,12.370,,,,36.264,,4.1362,0.76858,1.7584,1.3062,770.18,6.8856,3282.0,6.6937,0.52614,22.617,6.7190
2458864,"2020/01/15","Wed",,59.840,1.4492,12.338,,,,36.171,,4.1720,0.76783,1.7524,1.3050,775.94,6.8902,3303.1,6.6700,0.52479,22.529,6.6954
2458865,"2020/01/16","Thu",,60.038,1.4490,12.352,,,,36.212,,4.1838,0.76551,1.7524,1.3045,774.92,6.8803,3319.0,6.6679,0.52539,22.553,6.6958
2458866,"2020/01/17","Fri",,59.968,1.4534,12.402,,,,36.357,,4.1772,0.76759,1.7621,1.3062,771.94,6.8603,3322.0,6.7011,0.52749,22.656,6.7327
2458869,"2020/01/20","Mon",,59.959,1.4560,12.412,,,,36.387,,4.1850,0.76927,1.7622,1.3053,769.86,6.8664,3331.3,6.6998,0.52792,22.638,6.7329
2458870,"2020/01/21","Tue",,60.051,1.4587,12.399,,,,36.348,,4.2003,0.76603,1.7611,1.3067,772.66,6.9064,3349.8,6.6969,0.52736,22.570,6.7284
2458871,"2020/01/22","Wed",,60.029,1.4614,12.412,,,,36.387,,4.1851,0.76145,1.7734,1.3116,770.86,6.9068,3328.4,6.7439,0.52792,22.792,6.7760
2458872,"2020/01/23","Thu",,60.041,1.4603,12.444,,,,36.482,,4.1671,0.76262,1.7607,1.3143,777.67,6.9356,3366.9,6.7014,0.52930,22.650,6.7279
2458873,"2020/01/24","Fri",,60.038,1.4644,12.476,,,,36.574,,4.1807,0.76444,1.7735,1.3140,776.50,6.9377,3375.2,6.7477,0.53064,22.814,6.7763
2458876,"2020/01/27","Mon",,60.153,1.4788,12.488,,,,36.610,,4.2155,0.76591,1.7733,1.3182,789.65,6.9379,3398.2,6.7469,0.53116,22.876,6.7753
2458877,"2020/01/28","Tue",,60.197,1.4810,12.499,,,,36.642,,4.2025,0.76926,1.7757,1.3179,786.82,6.9363,3391.7,6.7556,0.53162,22.898,6.7845
2458878,"2020/01/29","Wed",,,1.4822,12.506,,,,36.662,,4.2133,0.76873,1.7804,1.3196,790.94,6.9380,3396.1,6.7746,0.53191,22.947,6.8026
2458879,"2020/01/30","Thu",,60.240,1.4901,12.475,,,,36.571,,4.2567,0.76386,1.7733,1.3217,796.05,6.9381,3412.9,6.7480,0.53060,22.894,6.7757
2458880,"2020/01/31","Fri",,60.376,1.4936,12.427,,,,36.431,,4.2784,0.75899,1.7694,1.3233,799.80,6.9355,3427.2,6.7346,0.52856,22.807,6.7609
2458883,"2020/02/03","Mon",,60.322,1.4944,12.442,,,,36.477,,4.2453,0.76850,1.7726,1.3275,787.58,7.0201,3397.7,6.7490,0.52922,22.819,6.7729
2458884,"2020/02/04","Tue",,60.595,1.4857,12.461,,,,36.532,,4.2449,0.76743,1.7701,1.3278,782.25,6.9995,3370.1,6.7443,0.53003,22.756,6.7634
2458885,"2020/02/05","Wed",,60.556,1.4813,12.506,,,,36.662,,4.2484,0.76940,1.7748,1.3289,777.39,6.9722,3355.4,6.7668,0.53192,22.737,6.7814
2458886,"2020/02/06","Thu",,60.687,1.4838,12.529,,,,36.730,,4.2637,0.77276,1.7791,1.3290,783.37,6.9691,3381.8,6.7826,0.53291,22.644,6.7974
2458887,"2020/02/07","Fri",,60.769,1.4978,12.562,,,,36.827,,4.3114,0.77431,1.7818,1.3305,789.97,6.9990,3411.5,6.7919,0.53431,22.804,6.8077
2458890,"2020/02/10","Mon",,60.961,1.4969,12.598,,,,36.932,,4.3201,0.77378,1.7867,1.3319,794.62,6.9843,3445.2,6.8102,0.53583,22.862,6.8261
2458891,"2020/02/11","Tue",,61.081,1.4893,12.605,,,,36.954,,4.3240,0.77212,1.7935,1.3292,791.92,6.9665,3424.3,6.8399,0.53615,22.893,6.8520
2458892,"2020/02/12","Wed",,61.274,1.4835,12.638,,,,37.050,,4.3441,0.77116,1.7917,1.3254,790.93,6.9721,3383.1,6.8317,0.53754,22.791,6.8448
2458893,"2020/02/13","Thu",,61.375,1.4861,12.687,,,,37.192,,4.3363,0.76642,1.7997,1.3256,793.62,6.9768,3379.8,6.8565,0.53960,22.852,6.8756
2458894,"2020/02/14","Fri",,61.440,1.4891,12.689,,,,37.198,,4.3086,0.76744,1.8041,1.3249,790.42,6.9879,3380.8,6.8712,0.53969,22.902,6.8918
2458898,"2020/02/18","Tue",,61.636,1.4952,12.734,,,,37.333,,4.3526,0.76845,1.8076,1.3258,795.64,6.9963,3406.2,6.8799,0.54164,23.011,6.9041
2458899,"2020/02/19","Wed",,61.718,1.4981,12.748,,,,37.371,,4.3710,0.77288,1.8120,1.3231,797.87,6.9968,3391.6,6.8979,0.54220,23.127,6.9201
2458900,"2020/02/20","Thu",,61.716,1.5108,12.743,,,,37.358,,4.3902,0.77663,1.8122,1.3254,806.53,7.0239,3393.3,6.9027,0.54201,23.199,6.9199
2458901,"2020/02/21","Fri",,61.835,1.5098,12.689,,,,37.198,,4.3890,0.77162,1.8061,1.3224,802.58,7.0266,3393.3,6.8789,0.53969,23.143,6.8985
2458904,"2020/02/24","Mon",,61.653,1.5133,12.683,,,,37.181,,4.3883,0.77388,1.8071,1.3279,807.17,7.0296,3431.8,6.8973,0.53945,23.271,6.9018
2458905,"2020/02/25","Tue",,61.707,1.5156,12.664,,,,37.125,,4.3875,0.76942,1.8034,1.3281,810.74,7.0121,3433.2,6.8758,0.53863,23.261,6.8882
2458906,"2020/02/26","Wed",,62.031,1.5243,12.649,,,,37.082,,4.4180,0.77407,1.7987,1.3307,810.48,7.0222,3440.7,6.8614,0.53801,23.309,6.8710
2458907,"2020/02/27","Thu",,62.130,1.5195,12.531,,,,36.735,,4.4745,0.77608,1.7854,1.3361,813.99,7.0063,3511.6,6.8124,0.53298,23.080,6.8215
2458908,"2020/02/28","Fri",,62.284,1.5386,12.514,,,,36.687,,4.4943,0.78121,1.7798,1.3429,818.58,6.9906,3539.2,6.7973,0.53228,23.105,6.7999
2458911,"2020/03/02","Mon",,62.348,1.5304,12.343,,,,36.184,,4.4879,0.78247,1.7582,1.3356,813.85,6.9599,3485.5,6.7274,0.52498,22.946,6.7180
2458912,"2020/03/03","Tue",,62.316,1.5154,12.331,,,,36.150,,4.4963,0.78091,1.7591,1.3363,805.53,6.9671,3450.3,6.7326,0.52448,22.913,6.7215
2458913,"2020/03/04","Wed",,62.200,1.5115,12.366,,,,36.252,,4.5489,0.77897,1.7623,1.3392,816.56,6.9281,3471.3,6.7445,0.52597,22.834,6.7336
2458914,"2020/03/05","Thu",,62.511,1.5158,12.289,,,,36.027,,4.6355,0.77329,1.7467,1.3415,823.31,6.9364,3527.8,6.6896,0.52270,22.636,6.6724
2458915,"2020/03/06","Fri",,62.473,1.5076,12.160,,,,35.649,,4.6375,0.76841,1.7254,1.3421,825.78,6.9323,3585.0,6.6196,0.51722,22.459,6.5898
2458918,"2020/03/09","Mon",,62.751,1.5102,12.026,,,,35.256,,4.7462,0.76243,1.7034,1.3598,844.21,6.9484,3801.6,6.5756,0.51151,22.212,6.5055
2458919,"2020/03/10","Tue",,62.444,1.5357,12.134,,,,35.573,,4.6609,0.77132,1.7238,1.3731,833.37,6.9559,3766.2,6.6478,0.51611,22.673,6.5851
2458920,"2020/03/11","Wed",,62.800,1.5347,12.178,,,,35.701,,4.6911,0.77572,1.7256,1.3745,838.39,6.9560,3843.1,6.6828,0.51797,22.736,6.5929
2458921,"2020/03/12","Thu",,62.650,1.5791,12.317,,,,36.107,,4.8662,0.79307,1.7411,1.3820,848.93,7.0259,4021.4,6.7658,0.52387,23.327,6.6525
2458922,"2020/03/13","Fri",,62.782,1.6085,12.397,,,,36.342,,4.7639,0.80539,1.7667,1.3901,834.23,7.0030,3937.5,6.8317,0.52728,23.524,6.7506
2458925,"2020/03/16","Mon",,63.023,1.6305,12.338,,,,36.170,,4.9694,0.81546,1.7576,1.3964,853.12,7.0030,4093.4,6.8104,0.52477,24.227,6.7156
2458926,"2020/03/17","Tue",,63.252,1.6684,12.524,,,,36.716,,5.0230,0.82817,1.7872,1.4175,855.27,7.0104,4064.7,6.9288,0.53270,24.659,6.8291
2458927,"2020/03/18","Wed",,63.156,1.7149,12.647,,,,37.076,,5.1441,0.85316,1.8002,1.4496,865.17,7.0437,4143.1,6.9894,0.53792,24.994,6.8786
2458928,"2020/03/19","Thu",,63.766,1.7207,12.823,,,,37.591,,5.1401,0.86049,1.8146,1.4495,864.24,7.1089,4156.7,7.0587,0.54539,25.613,6.9335
2458929,"2020/03/20","Fri",,63.633,1.7115,12.867,,,,37.721,,5.0200,0.85259,1.8372,1.4332,851.00,7.0915,4076.9,7.1484,0.54728,25.543,7.0163
2458932,"2020/03/23","Mon",,63.473,1.7253,12.787,,,,37.487,,5.1011,0.86548,1.8262,1.4482,858.42,7.0886,4128.0,7.1019,0.54389,25.803,6.9754
