Currency	Country
'ARS/USD'	Argentina
'AUD/USD'	Australia
'ATS/USD'	Austria
'BEF/USD'	Belgium
'BRL/USD'	Brazil
'GBP/USD'	British
'BGN/USD'	Bulgaria
'CAD/USD'	Canada
'CLP/USD'	Chili
'CNY/USD'	China
'COP/USD'	Colombia
'HRK/USD'	Croatia
'CYP/USD'	Cyprus
'CZK/USD'	Czech Republic
'DKK/USD'	Denmark
'NLG/USD'	Netherlands
'EEK/USD'	Estonia
'EUR/USD'	Europe
'FIM/USD'	Finland
'FRF/USD'	France
'DEM/USD'	Germany
'GRD/USD'	Greece
'HKD/USD'	Hongkong
'HUF/USD'	Hungary
'ISK/USD'	Iceland
'INR/USD'	India
'IDR/USD'	Indonesia
'IEP/USD'	Ireland
'ILS/USD'	Israel
'ITL/USD'	Italy
'JPY/USD'	Japan
'LUF/USD'	Luxembourg
'MYR/USD'	Malaysia
'MTL/USD'	Malta
'MXN/USD'	Mexico
'NZD/USD'	New Zealand
'NOK/USD'	Norway
'PKR/USD'	Pakistan
'PEN/USD'	Peru
'PHP/USD'	Philippines
'XPT/USD'	Platinum Ounce
'PLN/USD'	Polish
'PTE/USD'	Portugal
'RON/USD'	Romania
'RUB/USD'	Russia
'SAR/USD'	Saudi Arabia
'SGD/USD'	Singapore
'SKK/USD'	Slovakia
'SIT/USD'	Slovenia
'ZAR/USD'	South Africa
'KRW/USD'	South Korea
'ESP/USD'	Spain
'XDR/USD'	Special drawing rights
'SEK/USD'	Sweden
'CHF/USD'	Swiss
'TWD/USD'	Taiwan
'THB/USD'	Thailand
'TRY/USD'	Turkey
