Source;Target;Label;Weight
1;2;NEdge12;0.12482
3;1;PEdge31;0.022055
3;2;PEdge32;0.62105
4;1;PEdge41;0.021801
4;2;PEdge42;0.62121
4;3;PEdge43;0.99996
5;1;PEdge51;0.020894
5;2;PEdge52;0.40897
5;3;PEdge53;0.25964
5;4;PEdge54;0.25942
1;6;NEdge16;0.066735
6;2;PEdge62;0.71286
6;3;PEdge63;0.56435
6;4;PEdge64;0.56428
6;5;PEdge65;0.3127
1;7;NEdge17;0.10937
7;2;PEdge72;0.57909
7;3;PEdge73;0.7803
7;4;PEdge74;0.77987
7;5;PEdge75;0.20454
7;6;PEdge76;0.50013
1;8;NEdge18;0.14252
8;2;PEdge82;0.76439
8;3;PEdge83;0.48686
8;4;PEdge84;0.48699
8;5;PEdge85;0.44415
8;6;PEdge86;0.61519
8;7;PEdge87;0.48196
1;9;NEdge19;0.044246
9;2;PEdge92;0.41557
9;3;PEdge93;0.21278
9;4;PEdge94;0.21259
9;5;PEdge95;0.47708
9;6;PEdge96;0.29193
9;7;PEdge97;0.16196
9;8;PEdge98;0.36674
1;10;NEdge110;0.15137
10;2;PEdge102;0.436
10;3;PEdge103;0.42359
10;4;PEdge104;0.42442
10;5;PEdge105;0.25112
10;6;PEdge106;0.39119
10;7;PEdge107;0.36793
10;8;PEdge108;0.3862
10;9;PEdge109;0.27284
1;11;NEdge111;0.00029196
11;2;PEdge112;0.41625
11;3;PEdge113;0.21447
11;4;PEdge114;0.2147
11;5;PEdge115;0.55884
11;6;PEdge116;0.30859
11;7;PEdge117;0.1264
11;8;PEdge118;0.46953
11;9;PEdge119;0.5061
11;10;PEdge1110;0.34134
1;12;NEdge112;0.091093
12;2;PEdge122;0.59486
12;3;PEdge123;0.76721
12;4;PEdge124;0.76689
12;5;PEdge125;0.22877
12;6;PEdge126;0.50768
12;7;PEdge127;0.97721
12;8;PEdge128;0.50682
12;9;PEdge129;0.20768
12;10;PEdge1210;0.3807
12;11;PEdge1211;0.17962
13;1;PEdge131;0.021699
13;2;PEdge132;0.62115
13;3;PEdge133;0.99996
13;4;PEdge134;0.99999
13;5;PEdge135;0.25939
13;6;PEdge136;0.56446
13;7;PEdge137;0.77995
13;8;PEdge138;0.48681
13;9;PEdge139;0.21238
13;10;PEdge1310;0.42433
13;11;PEdge1311;0.21469
13;12;PEdge1312;0.76696
1;14;NEdge114;0.040619
14;2;PEdge142;0.667
14;3;PEdge143;0.69187
14;4;PEdge144;0.69132
14;5;PEdge145;0.36315
14;6;PEdge146;0.60026
14;7;PEdge147;0.77624
14;8;PEdge148;0.56633
14;9;PEdge149;0.27163
14;10;PEdge1410;0.408
14;11;PEdge1411;0.31755
14;12;PEdge1412;0.78048
14;13;PEdge1413;0.69118
1;15;NEdge115;0.11397
15;2;PEdge152;0.58176
15;3;PEdge153;0.78082
15;4;PEdge154;0.78036
15;5;PEdge155;0.20527
15;6;PEdge156;0.50375
15;7;PEdge157;0.99933
15;8;PEdge158;0.48401
15;9;PEdge159;0.16477
15;10;PEdge1510;0.36653
15;11;PEdge1511;0.12785
15;12;PEdge1512;0.97711
15;13;PEdge1513;0.78045
15;14;PEdge1514;0.77679
16;1;PEdge161;0.022155
16;2;PEdge162;0.62122
16;3;PEdge163;0.99995
16;4;PEdge164;0.99998
16;5;PEdge165;0.25947
16;6;PEdge166;0.56459
16;7;PEdge167;0.77969
16;8;PEdge168;0.48688
16;9;PEdge169;0.2124
16;10;PEdge1610;0.42431
16;11;PEdge1611;0.21469
16;12;PEdge1612;0.7667
16;13;PEdge1613;0.99998
16;14;PEdge1614;0.6912
16;15;PEdge1615;0.78017
17;1;PEdge171;0.022635
17;2;PEdge172;0.62113
17;3;PEdge173;0.99993
17;4;PEdge174;0.99997
17;5;PEdge175;0.25917
17;6;PEdge176;0.56431
17;7;PEdge177;0.77956
17;8;PEdge178;0.48662
17;9;PEdge179;0.21181
17;10;PEdge1710;0.42355
17;11;PEdge1711;0.21452
17;12;PEdge1712;0.76649
17;13;PEdge1713;0.99997
17;14;PEdge1714;0.69099
17;15;PEdge1715;0.78006
17;16;PEdge1716;0.99996
18;1;PEdge181;0.021687
18;2;PEdge182;0.62126
18;3;PEdge183;0.99996
18;4;PEdge184;0.99999
18;5;PEdge185;0.25941
18;6;PEdge186;0.56465
