Source;Target;Label;Weight
2;1;PEdge21;0.95033
3;1;PEdge31;0.9503
3;2;PEdge32;0.99996
4;1;PEdge41;0.95035
4;2;PEdge42;0.99998
4;3;PEdge43;0.99998
5;1;PEdge51;0.95033
5;2;PEdge52;0.99997
5;3;PEdge53;0.99998
5;4;PEdge54;0.99999
6;1;PEdge61;0.95037
6;2;PEdge62;0.99997
6;3;PEdge63;0.99997
6;4;PEdge64;0.99998
6;5;PEdge65;0.99998
7;1;PEdge71;0.95034
7;2;PEdge72;0.99996
7;3;PEdge73;0.99997
7;4;PEdge74;0.99999
7;5;PEdge75;0.99998
7;6;PEdge76;0.99997
8;1;PEdge81;0.9501
8;2;PEdge82;0.99995
8;3;PEdge83;0.99994
8;4;PEdge84;0.99996
8;5;PEdge85;0.99996
8;6;PEdge86;0.99995
8;7;PEdge87;0.99995
9;1;PEdge91;0.95035
9;2;PEdge92;0.99998
9;3;PEdge93;0.99998
9;4;PEdge94;1
9;5;PEdge95;0.99999
9;6;PEdge96;0.99998
9;7;PEdge97;0.99999
9;8;PEdge98;0.99996
10;1;PEdge101;0.95023
10;2;PEdge102;0.99997
10;3;PEdge103;0.99997
10;4;PEdge104;0.99999
10;5;PEdge105;0.99998
10;6;PEdge106;0.99997
10;7;PEdge107;0.99997
10;8;PEdge108;0.99995
10;9;PEdge109;0.99999
11;1;PEdge111;0.95027
11;2;PEdge112;0.99997
11;3;PEdge113;0.99998
11;4;PEdge114;0.99999
11;5;PEdge115;0.99999
11;6;PEdge116;0.99998
11;7;PEdge117;0.99998
11;8;PEdge118;0.99996
11;9;PEdge119;0.99999
11;10;PEdge1110;0.99998
12;1;PEdge121;0.95029
12;2;PEdge122;0.99998
12;3;PEdge123;0.99998
12;4;PEdge124;1
12;5;PEdge125;0.99999
12;6;PEdge126;0.99998
12;7;PEdge127;0.99998
12;8;PEdge128;0.99996
12;9;PEdge129;1
12;10;PEdge1210;0.99999
12;11;PEdge1211;0.99999
13;1;PEdge131;0.95023
13;2;PEdge132;0.99997
13;3;PEdge133;0.99998
13;4;PEdge134;0.99999
13;5;PEdge135;0.99999
13;6;PEdge136;0.99998
13;7;PEdge137;0.99998
13;8;PEdge138;0.99996
13;9;PEdge139;0.99999
13;10;PEdge1310;0.99998
13;11;PEdge1311;0.99999
13;12;PEdge1312;0.99999
14;1;PEdge141;0.95023
14;2;PEdge142;0.99997
14;3;PEdge143;0.99998
14;4;PEdge144;0.99999
14;5;PEdge145;0.99999
14;6;PEdge146;0.99998
14;7;PEdge147;0.99998
14;8;PEdge148;0.99996
14;9;PEdge149;0.99999
14;10;PEdge1410;0.99998
14;11;PEdge1411;0.99999
14;12;PEdge1412;0.99999
14;13;PEdge1413;1
15;1;PEdge151;0.95032
15;2;PEdge152;0.99998
15;3;PEdge153;0.99998
15;4;PEdge154;1
15;5;PEdge155;0.99999
15;6;PEdge156;0.99998
15;7;PEdge157;0.99998
15;8;PEdge158;0.99996
15;9;PEdge159;1
15;10;PEdge1510;0.99999
15;11;PEdge1511;0.99999
15;12;PEdge1512;1
15;13;PEdge1513;0.99999
15;14;PEdge1514;0.99999
16;1;PEdge161;0.95027
16;2;PEdge162;0.99998
16;3;PEdge163;0.99998
16;4;PEdge164;1
16;5;PEdge165;0.99999
16;6;PEdge166;0.99998
16;7;PEdge167;0.99999
16;8;PEdge168;0.99996
16;9;PEdge169;1
16;10;PEdge1610;0.99999
16;11;PEdge1611;0.99999
16;12;PEdge1612;1
16;13;PEdge1613;0.99999
16;14;PEdge1614;0.99999
16;15;PEdge1615;1
17;1;PEdge171;0.95025
17;2;PEdge172;0.99996
17;3;PEdge173;0.99997
17;4;PEdge174;0.99998
17;5;PEdge175;0.99998
17;6;PEdge176;0.99997
17;7;PEdge177;0.99997
17;8;PEdge178;0.99994
17;9;PEdge179;0.99998
17;10;PEdge1710;0.99997
17;11;PEdge1711;0.99998
17;12;PEdge1712;0.99998
17;13;PEdge1713;0.99998
17;14;PEdge1714;0.99998
17;15;PEdge1715;0.99998
17;16;PEdge1716;0.99998
18;1;PEdge181;0.95013
18;2;PEdge182;0.99997
18;3;PEdge183;0.99998
18;4;PEdge184;0.99999
18;5;PEdge185;0.99999
18;6;PEdge186;0.99998
18;7;PEdge187;0.99998
18;8;PEdge188;0.99995
18;9;PEdge189;0.99999
18;10;PEdge1810;0.99998
18;11;PEdge1811;0.99999
18;12;PEdge1812;0.99999
18;13;PEdge1813;0.99999
18;14;PEdge1814;0.99999
18;15;PEdge1815;0.99999
18;16;PEdge1816;0.99999
18;17;PEdge1817;0.99998
19;1;PEdge191;0.95014
19;2;PEdge192;0.99995
19;3;PEdge193;0.99996
19;4;PEdge194;0.99997
19;5;PEdge195;0.99997
19;6;PEdge196;0.99996
19;7;PEdge197;0.99996
19;8;PEdge198;0.99993
19;9;PEdge199;0.99997
19;10;PEdge1910;0.99996
19;11;PEdge1911;0.99996
19;12;PEdge1912;0.99997
19;13;PEdge1913;0.99997
19;14;PEdge1914;0.99997
19;15;PEdge1915;0.99997
19;16;PEdge1916;0.99997
19;17;PEdge1917;0.99996
19;18;PEdge1918;0.99997
20;1;PEdge201;0.79337
20;2;PEdge202;0.80495
20;3;PEdge203;0.80459
20;4;PEdge204;0.80487
20;5;PEdge205;0.80482
20;6;PEdge206;0.80455
20;7;PEdge207;0.80467
20;8;PEdge208;0.80483
20;9;PEdge209;0.80467
20;10;PEdge2010;0.80488
20;11;PEdge2011;0.80465
20;12;PEdge2012;0.80464
20;13;PEdge2013;0.80472
20;14;PEdge2014;0.80472
20;15;PEdge2015;0.80467
20;16;PEdge2016;0.80472
20;17;PEdge2017;0.80472
20;18;PEdge2018;0.80472
20;19;PEdge2019;0.80481
21;1;PEdge211;0.74607
21;2;PEdge212;0.6609
21;3;PEdge213;0.66055
21;4;PEdge214;0.66061
21;5;PEdge215;0.66046
21;6;PEdge216;0.66075
21;7;PEdge217;0.66045
21;8;PEdge218;0.66037
21;9;PEdge219;0.66048
21;10;PEdge2110;0.66033
21;11;PEdge2111;0.66059
21;12;PEdge2112;0.66035
21;13;PEdge2113;0.66045
21;14;PEdge2114;0.66045
21;15;PEdge2115;0.66041
21;16;PEdge2116;0.66044
21;17;PEdge2117;0.66067
21;18;PEdge2118;0.66012
21;19;PEdge2119;0.66045
21;20;PEdge2120;0.71815
22;1;PEdge221;0.75099
22;2;PEdge222;0.7674
22;3;PEdge223;0.76777
22;4;PEdge224;0.7673
22;5;PEdge225;0.76743
22;6;PEdge226;0.76743
22;7;PEdge227;0.76716
22;8;PEdge228;0.76767
22;9;PEdge229;0.7674
22;10;PEdge2210;0.76729
22;11;PEdge2211;0.7673
22;12;PEdge2212;0.76742
22;13;PEdge2213;0.76735
22;14;PEdge2214;0.76735
22;15;PEdge2215;0.76739
22;16;PEdge2216;0.76745
22;17;PEdge2217;0.76734
22;18;PEdge2218;0.76734
22;19;PEdge2219;0.76696
22;20;PEdge2220;0.63765
22;21;PEdge2221;0.59735
23;1;PEdge231;0.73011
23;2;PEdge232;0.72213
23;3;PEdge233;0.72232
23;4;PEdge234;0.72204
23;5;PEdge235;0.72207
23;6;PEdge236;0.7219
23;7;PEdge237;0.72205
23;8;PEdge238;0.72255
23;9;PEdge239;0.72209
23;10;PEdge2310;0.72206
23;11;PEdge2311;0.72226
23;12;PEdge2312;0.72213
23;13;PEdge2313;0.7221
23;14;PEdge2314;0.7221
23;15;PEdge2315;0.72206
23;16;PEdge2316;0.72211
23;17;PEdge2317;0.72217
23;18;PEdge2318;0.72198
23;19;PEdge2319;0.72181
23;20;PEdge2320;0.66336
23;21;PEdge2321;0.63434
23;22;PEdge2322;0.81327
24;1;PEdge241;0.7613
24;2;PEdge242;0.77435
24;3;PEdge243;0.77479
24;4;PEdge244;0.77425
24;5;PEdge245;0.77439
24;6;PEdge246;0.77447
24;7;PEdge247;0.77421
24;8;PEdge248;0.77454
24;9;PEdge249;0.77439
24;10;PEdge2410;0.77419
24;11;PEdge2411;0.77436
24;12;PEdge2412;0.77438
24;13;PEdge2413;0.77432
24;14;PEdge2414;0.77432
24;15;PEdge2415;0.77437
24;16;PEdge2416;0.77443
24;17;PEdge2417;0.77429
24;18;PEdge2418;0.77433
24;19;PEdge2419;0.77395
24;20;PEdge2420;0.63181
24;21;PEdge2421;0.59763
24;22;PEdge2422;0.96931
24;23;PEdge2423;0.82758
25;1;PEdge251;0.76368
25;2;PEdge252;0.78072
25;3;PEdge253;0.7811
25;4;PEdge254;0.78059
25;5;PEdge255;0.78075
25;6;PEdge256;0.78078
25;7;PEdge257;0.78045
25;8;PEdge258;0.78109
25;9;PEdge259;0.78073
25;10;PEdge2510;0.78058
25;11;PEdge2511;0.78066
25;12;PEdge2512;0.78072
25;13;PEdge2513;0.78064
25;14;PEdge2514;0.78064
25;15;PEdge2515;0.78071
25;16;PEdge2516;0.78076
25;17;PEdge2517;0.7807
25;18;PEdge2518;0.78064
25;19;PEdge2519;0.78034
25;20;PEdge2520;0.63008
25;21;PEdge2521;0.58248
25;22;PEdge2522;0.97709
25;23;PEdge2523;0.82384
25;24;PEdge2524;0.9883
26;1;PEdge261;0.76277
26;2;PEdge262;0.7802
26;3;PEdge263;0.78061
26;4;PEdge264;0.78009
26;5;PEdge265;0.78024
26;6;PEdge266;0.78027
26;7;PEdge267;0.77996
26;8;PEdge268;0.78056
26;9;PEdge269;0.78023
26;10;PEdge2610;0.7801
26;11;PEdge2611;0.78015
26;12;PEdge2612;0.78022
26;13;PEdge2613;0.78014
26;14;PEdge2614;0.78014
26;15;PEdge2615;0.78021
26;16;PEdge2616;0.78026
26;17;PEdge2617;0.78018
26;18;PEdge2618;0.78014
26;19;PEdge2619;0.77983
26;20;PEdge2620;0.62888
26;21;PEdge2621;0.58219
26;22;PEdge2622;0.9772
26;23;PEdge2623;0.82252
26;24;PEdge2624;0.98955
26;25;PEdge2625;0.99933
27;1;PEdge271;0.71116
27;2;PEdge272;0.69133
27;3;PEdge273;0.69134
27;4;PEdge274;0.6912
27;5;PEdge275;0.69119
27;6;PEdge276;0.69125
27;7;PEdge277;0.69125
27;8;PEdge278;0.69192
27;9;PEdge279;0.69122
27;10;PEdge2710;0.69141
27;11;PEdge2711;0.69135
27;12;PEdge2712;0.69123
27;13;PEdge2713;0.69137
27;14;PEdge2714;0.69137
27;15;PEdge2715;0.69121
27;16;PEdge2716;0.69129
27;17;PEdge2717;0.69135
27;18;PEdge2718;0.69133
27;19;PEdge2719;0.69104
27;20;PEdge2720;0.64961
27;21;PEdge2721;0.63378
27;22;PEdge2722;0.77984
27;23;PEdge2723;0.84588
27;24;PEdge2724;0.78124
27;25;PEdge2725;0.77594
27;26;PEdge2726;0.77536
28;1;PEdge281;0.69208
28;2;PEdge282;0.62205
28;3;PEdge283;0.62215
28;4;PEdge284;0.62207
28;5;PEdge285;0.62198
28;6;PEdge286;0.62214
28;7;PEdge287;0.62195
28;8;PEdge288;0.62179
28;9;PEdge289;0.622
28;10;PEdge2810;0.62163
28;11;PEdge2811;0.62199
28;12;PEdge2812;0.62189
28;13;PEdge2813;0.62195
28;14;PEdge2814;0.62195
28;15;PEdge2815;0.62193
