x,y,value
XDR,XDR,1
XDR,ESP,0.950325917703294
XDR,DEM,0.950303266386191
XDR,FIM,0.950347691307724
XDR,MTL,0.950326449807523
XDR,PTE,0.950369883079958
XDR,NLG,0.950339661125281
XDR,ATS,0.950097165049698
XDR,EUR,0.950347483285164
XDR,SIT,0.950234355340382
XDR,SKK,0.950272662628246
XDR,CYP,0.950290950758214
XDR,BEF,0.950232268566918
XDR,LUF,0.950232268566918
XDR,FRF,0.950324565203442
XDR,IEP,0.950274498999633
XDR,ITL,0.950253831694869
XDR,GRD,0.950133792976422
XDR,EEK,0.950144982220385
XDR,SEK,0.793368496555789
XDR,SGD,0.746070761327081
XDR,HRK,0.750993056339702
XDR,PLN,0.73011379551054
XDR,RON,0.761295964669875
XDR,DKK,0.763676143058153
XDR,BGN,0.762765907685538
XDR,CZK,0.711159461813227
XDR,AUD,0.692079328499756
XDR,NOK,0.658570996005781
XDR,NZD,0.687932351171889
XDR,HUF,0.677159476533631
XDR,CHF,0.843924062852577
XDR,GBP,0.733064682303488
XDR,CAD,0.536480475749596
XDR,KRW,0.448844458091373
XDR,ISK,0.530562286697923
XDR,CNY,0.551475099319
XDR,ZAR,0.361773884519038
XDR,MXN,0.333450347163368
XDR,XPT,0.403708634764715
XDR,THB,0.34454538501214
XDR,MYR,0.351940008348949
XDR,INR,0.34090619810193
XDR,BRL,0.265856846251061
XDR,TWD,0.334156321898328
XDR,COP,0.220839020976296
XDR,JPY,0.616184789386309
XDR,CLP,0.231730580991233
XDR,PHP,0.207770476074052
XDR,ILS,0.234781967091815
XDR,RUB,0.143763675952056
XDR,IDR,0.253689062541875
XDR,TRY,0.176991809782023
XDR,PEN,0.179154852526049
XDR,HKD,0.206353180894448
XDR,SAR,0.0603657103741143
XDR,ARS,-0.0193487729609575
XDR,PKR,-0.132591052662638
ESP,XDR,0.950325917703294
ESP,ESP,1
ESP,DEM,0.999957717419692
ESP,FIM,0.999977726021315
ESP,MTL,0.99997329330166
ESP,PTE,0.99996793395813
ESP,NLG,0.999964921989703
ESP,ATS,0.999948988875758
ESP,EUR,0.999978972775553
ESP,SIT,0.999967344825675
ESP,SKK,0.999972334341957
ESP,CYP,0.999976993669726
ESP,BEF,0.999973658457064
ESP,LUF,0.999973658457064
ESP,FRF,0.999977220790105
ESP,IEP,0.999977373364392
ESP,ITL,0.999957207366973
ESP,GRD,0.999972549914066
ESP,EEK,0.99995056610201
ESP,SEK,0.804947769649241
ESP,SGD,0.660897456572206
ESP,HRK,0.767398481439409
ESP,PLN,0.722129060058315
ESP,RON,0.774354601128926
ESP,DKK,0.780717413427237
ESP,BGN,0.780200739613523
ESP,CZK,0.691329527574068
ESP,AUD,0.622049409474627
ESP,NOK,0.639817136648025
ESP,NZD,0.624695650615117
ESP,HUF,0.672364898606848
ESP,CHF,0.852058435626898
ESP,GBP,0.564948558894177
ESP,CAD,0.487283461641517
ESP,KRW,0.39083780484753
ESP,ISK,0.549834294739947
ESP,CNY,0.425053128112542
ESP,ZAR,0.324031231338974
ESP,MXN,0.284158606430964
ESP,XPT,0.356342045293757
ESP,THB,0.291562153716903
ESP,MYR,0.288268352882234
ESP,INR,0.297152102567526
ESP,BRL,0.259641609408342
ESP,TWD,0.305630901468708
ESP,COP,0.21222401015299
ESP,JPY,0.481586640282543
ESP,CLP,0.212638880276125
ESP,PHP,0.169854024814919
ESP,ILS,0.196487653858074
ESP,RUB,0.124602669005909
ESP,IDR,0.22803800154986
ESP,TRY,0.167638059007069
ESP,PEN,0.146119074028443
ESP,HKD,0.169007508454129
ESP,SAR,0.0663251801438427
ESP,ARS,0.0214266128592866
ESP,PKR,-0.110431129656866
DEM,XDR,0.950303266386191
DEM,ESP,0.999957717419692
DEM,DEM,1
DEM,FIM,0.999980307230521
DEM,MTL,0.99997990875802
DEM,PTE,0.999967862496923
DEM,NLG,0.999970664752022
DEM,ATS,0.999944316072767
DEM,EUR,0.999982764288742
DEM,SIT,0.999971578045883
DEM,SKK,0.999977271571029
DEM,CYP,0.999982232956979
DEM,BEF,0.999978608671049
DEM,LUF,0.999978608671049
DEM,FRF,0.999981460966288
DEM,IEP,0.999981963155039
DEM,ITL,0.999965728469622
DEM,GRD,0.999976189372645
DEM,EEK,0.999963234758208
DEM,SEK,0.804587455447751
DEM,SGD,0.660547002880743
DEM,HRK,0.767772512468382
DEM,PLN,0.722317307780277
DEM,RON,0.774786240555568
DEM,DKK,0.781095464876286
DEM,BGN,0.780606189624342
DEM,CZK,0.691343955214447
DEM,AUD,0.622145714803011
DEM,NOK,0.639655478452237
