ARS/USD,AUD/USD,ATS/USD,BEF/USD,BRL/USD,GBP/USD,BGN/USD,CAD/USD,CLP/USD,CNY/USD,COP/USD,HRK/USD,CYP/USD,CZK/USD,DKK/USD,NLG/USD,EEK/USD,EUR/USD,FIM/USD,FRF/USD,DEM/USD,GRD/USD,HKD/USD,HUF/USD,ISK/USD,INR/USD,IDR/USD,IEP/USD,ILS/USD,ITL/USD,JPY/USD,LUF/USD,MYR/USD,MTL/USD,MXN/USD,NZD/USD,NOK/USD,PKR/USD,PEN/USD,PHP/USD,XPT/USD,PLN/USD,PTE/USD,RON/USD,RUB/USD,SAR/USD,SGD/USD,SKK/USD,SIT/USD,ZAR/USD,KRW/USD,ESP/USD,XDR/USD,SEK/USD,CHF/USD,TWD/USD,THB/USD,TRY/USD
59.732,1.4286,12.282,36.006,4.0219,0.76181,1.7469,1.3059,746.73,6.9872,3292.5,6.6528,0.52239,22.743,6.6717,1.9669,13.965,0.89256,5.3069,5.8548,1.7457,304.14,7.7871,295.67,121.29,71.322,13893,0.70295,3.4609,1728.2,108.92,36.006,4.1066,0.38317,18.891,1.4857,8.7999,154.15,3.3153,50.718,0.00105042,3.8019,178.94,4.2712,61.92,3.7515,1.3484,26.889,213.89,14.087,1156.7,148.51,0.72282,9.3279,0.96898,30.062,29.938,5.944
59.408,1.4238,12.255,35.928,4.0198,0.75626,1.7401,1.2988,742.67,6.9641,3274.6,6.619,0.52126,22.606,6.6475,1.9627,13.935,0.89063,5.2954,5.8421,1.7419,303.48,7.7866,294.08,120.82,71.363,13817,0.70143,3.4561,1724.5,108.6,35.928,4.0907,0.38235,18.872,1.4821,8.7757,153.31,3.3141,50.625,0.00105042,3.7873,178.55,4.2555,62.144,3.7516,1.3449,26.831,213.43,14.009,1154.5,148.19,0.72148,9.3171,0.96659,29.919,29.775,5.9496
59.797,1.431,12.312,36.095,4.0273,0.76043,1.7465,1.2992,750.22,6.9625,3250.9,6.6478,0.52368,22.692,6.6723,1.9718,14,0.89477,5.32,5.8693,1.75,304.89,7.789,294.67,122.25,71.345,13821,0.70469,3.455,1732.5,108.54,36.095,4.0866,0.38412,18.875,1.4935,8.8022,153.95,3.3017,50.744,0.00101317,3.7991,179.38,4.271,61.867,3.7506,1.3476,26.956,214.42,14.096,1159,148.88,0.72281,9.3602,0.97144,30.019,30.13,5.9569
59.833,1.4375,12.328,36.141,4.0486,0.76432,1.7554,1.2988,757.08,6.9678,3252.5,6.6832,0.52435,22.761,6.7073,1.9743,14.018,0.89591,5.3268,5.8768,1.7522,305.28,7.7772,296.66,122.87,71.757,13966,0.70559,3.4793,1734.7,108.05,36.141,4.1039,0.38461,18.908,1.4996,8.8234,154.47,3.3107,51.143,0.00101729,3.8138,179.61,4.2887,61.995,3.7516,1.3491,26.99,214.7,14.277,1165.9,149.07,0.7232,9.398,0.97179,30.044,30.169,5.9742
59.648,1.4418,12.296,36.046,4.0582,0.76008,1.7464,1.297,772.36,6.9769,3247.2,6.648,0.52298,22.592,6.6731,1.9691,13.981,0.89356,5.3129,5.8614,1.7476,304.48,7.7711,294.37,122.6,71.896,13946,0.70373,3.4747,1730.2,108.26,36.046,4.1022,0.3836,18.846,1.4998,8.7992,154.51,3.3231,51.118,0.00101729,3.7874,179.14,4.2632,61.821,3.7518,1.3496,26.919,214.13,14.229,1168.5,148.68,0.72248,9.4122,0.96907,30.072,30.132,5.9715
59.801,1.4561,12.344,36.187,4.0768,0.7621,1.7523,1.3009,768.32,6.9455,3259.4,6.6728,0.52502,22.646,6.6954,1.9768,14.036,0.89705,5.3336,5.8842,1.7545,305.67,7.7759,296.81,123.01,71.873,13839,0.70648,3.47,1736.9,108.5,36.187,4.0968,0.3851,18.884,1.5072,8.8497,154.54,3.3254,50.918,0.00104058,3.8039,179.84,4.2806,61.977,3.7512,1.3507,27.024,214.97,14.3,1167.8,149.26,0.7233,9.4473,0.97126,30.051,30.303,5.9729
59.794,1.4566,12.379,36.289,4.0579,0.76296,1.7606,1.3026,759.98,6.9472,3241.8,6.7056,0.5265,22.744,6.7273,1.9824,14.075,0.89959,5.3487,5.9009,1.7594,306.53,7.7767,298.04,123.42,71.532,13857,0.70848,3.4695,1741.8,108.91,36.289,4.1039,0.38619,18.805,1.5052,8.8612,154.52,3.3179,50.79,0.00102881,3.8195,180.35,4.3007,61.414,3.7517,1.3507,27.101,215.58,14.199,1167.2,149.68,0.72424,9.4528,0.97209,30.035,30.373,5.929
59.735,1.4587,12.39,36.321,4.0795,0.76597,1.7635,1.3079,765.81,6.9311,3250.7,6.714,0.52697,22.77,6.7384,1.9842,14.088,0.90039,5.3535,5.9061,1.761,306.81,7.7666,299.82,124.16,71.198,13914,0.70911,3.4766,1743.4,109.45,36.321,4.0977,0.38654,18.832,1.5129,8.8792,154.17,3.3204,50.72,0.00104384,3.8252,180.51,4.3087,61.317,3.7519,1.3518,27.125,215.77,14.221,1159.5,149.81,0.72478,9.4913,0.97271,29.97,30.339,5.8729
59.78,1.4496,12.382,36.299,4.0784,0.76554,1.7606,1.3051,770.52,6.9199,3279.2,6.7015,0.52664,22.743,6.7272,1.9829,14.079,0.89982,5.3501,5.9024,1.7599,306.61,7.7684,300.53,122.97,70.929,13738,0.70867,3.4636,1742.3,109.58,36.299,4.07,0.38629,18.787,1.5076,8.8903,154.39,3.3251,50.409,0.00103199,3.8224,180.4,4.3026,61.072,3.7514,1.3487,27.108,215.63,14.287,1159.1,149.72,0.72455,9.5055,0.97345,29.975,30.187,5.8709
59.91,1.4477,12.359,36.23,4.1344,0.76984,1.7583,1.3048,774.46,6.8928,3283.1,6.6926,0.52565,22.682,6.7184,1.9792,14.053,0.89813,5.34,5.8913,1.7566,306.04,7.7713,300.52,123.34,70.759,13735,0.70733,3.4705,1739,109.92,36.23,4.0634,0.38557,18.815,1.5076,8.8943,154.6,3.3354,50.476,0.00102354,3.8071,180.06,4.2958,61.258,3.7516,1.3468,27.057,215.23,14.416,1156.7,149.44,0.72432,9.4757,0.97069,29.892,30.224,5.8669
